date,article,daily_units,daily_revenue
2021-01-02,BAGUETTE,46,41.4
2021-01-02,BANETTE,40,42.0
2021-01-02,BANETTINE,6,3.6
2021-01-02,BOULE 200G,6,6.6000000000000005
2021-01-02,BOULE 400G,11,16.5
2021-01-02,BOULE POLKA,2,3.2
2021-01-02,BRIOCHE,2,10.0
2021-01-02,CAFE OU EAU,6,6.0
2021-01-02,CAMPAGNE,10,18.0
2021-01-02,CEREAL BAGUETTE,19,23.75
2021-01-02,COMPLET,10,15.0
2021-01-02,COOKIE,8,8.0
2021-01-02,COUPE,55,8.25
2021-01-02,CROISSANT,66,72.60000000000001
2021-01-02,DEMI BAGUETTE,1,0.45
2021-01-02,DIVERS VIENNOISERIE,2,10.0
2021-01-02,FICELLE,5,3.0
2021-01-02,FINANCIER X5,1,3.0
2021-01-02,GACHE,1,5.0
2021-01-02,GAL FRANGIPANE 4P,8,64.0
2021-01-02,GAL FRANGIPANE 6P,7,84.0
2021-01-02,GAL POMME 4P,9,72.0
2021-01-02,GAL POMME 6P,4,48.0
2021-01-02,GD KOUIGN AMANN,2,15.0
2021-01-02,GRAND FAR BRETON,6,42.0
2021-01-02,KOUIGN AMANN,6,12.6
2021-01-02,MOISSON,10,20.0
2021-01-02,PAIN,6,6.8999999999999995
2021-01-02,PAIN AU CHOCOLAT,48,57.599999999999994
2021-01-02,PAIN AUX RAISINS,6,8.399999999999999
2021-01-02,PAIN BANETTE,6,8.399999999999999
2021-01-02,QUIM BREAD,3,3.0
2021-01-02,SAND JB EMMENTAL,9,31.5
2021-01-02,SANDWICH COMPLET,2,9.0
2021-01-02,SEIGLE,5,9.0
2021-01-02,SPECIAL BREAD,8,19.2
2021-01-02,SPECIAL BREAD KG,1,4.8
2021-01-02,TRADITIONAL BAGUETTE,128,153.6
2021-01-02,VIK BREAD,9,22.5
2021-01-03,BAGUETTE,36,32.4
2021-01-03,BAGUETTE GRAINE,8,10.4
2021-01-03,BANETTE,35,36.75
2021-01-03,BANETTINE,5,3.0
2021-01-03,BOULE 200G,3,3.3000000000000003
2021-01-03,BOULE 400G,11,16.5
2021-01-03,BOULE POLKA,2,3.2
2021-01-03,BRIOCHE,3,15.0
2021-01-03,CAMPAGNE,9,16.2
2021-01-03,CEREAL BAGUETTE,16,20.0
2021-01-03,CHAUSSON AUX POMMES,4,5.6
2021-01-03,COMPLET,6,9.0
2021-01-03,COOKIE,2,2.0
2021-01-03,COUPE,43,6.45
2021-01-03,CROISSANT,59,64.9
2021-01-03,DEMI BAGUETTE,4,1.8
2021-01-03,DIVERS CONFISERIE,1,3.0
2021-01-03,DIVERS VIENNOISERIE,5,24.0
2021-01-03,FICELLE,4,2.4
2021-01-03,GAL FRANGIPANE 4P,7,56.0
2021-01-03,GAL FRANGIPANE 6P,7,84.0
2021-01-03,GAL POMME 4P,12,96.0
2021-01-03,GAL POMME 6P,9,108.0
2021-01-03,GD KOUIGN AMANN,4,30.0
2021-01-03,GRAND FAR BRETON,2,14.0
2021-01-03,KOUIGN AMANN,3,6.300000000000001
2021-01-03,MOISSON,6,12.0
2021-01-03,PAIN,4,4.6
2021-01-03,PAIN AU CHOCOLAT,45,54.0
2021-01-03,PAIN AUX RAISINS,4,5.6
2021-01-03,PAIN BANETTE,5,7.0
2021-01-03,QUIM BREAD,7,7.0
2021-01-03,SEIGLE,1,1.8
2021-01-03,SPECIAL BREAD,7,16.8
2021-01-03,SPECIAL BREAD KG,1,4.8
2021-01-03,SUCETTE,4,1.2
2021-01-03,TRADITIONAL BAGUETTE,171,205.2
2021-01-03,VIK BREAD,10,25.0
2021-01-04,BAGUETTE,30,27.0
2021-01-04,BANETTE,24,25.200000000000003
2021-01-04,BANETTINE,3,1.7999999999999998
2021-01-04,BOISSON 33CL,1,1.5
2021-01-04,BOULE 200G,4,4.4
2021-01-04,BOULE 400G,5,7.5
2021-01-04,BRIOCHE,1,5.0
2021-01-04,CAFE OU EAU,3,3.0
2021-01-04,CAMPAGNE,6,10.8
2021-01-04,CEREAL BAGUETTE,7,8.75
2021-01-04,COMPLET,4,6.0
2021-01-04,COOKIE,2,2.0
2021-01-04,COUPE,22,3.3
2021-01-04,CROISSANT,17,18.700000000000003
2021-01-04,DIVERS BOULANGERIE,1,2.0
2021-01-04,DIVERS SANDWICHS,3,7.5
2021-01-04,DIVERS VIENNOISERIE,1,6.0
2021-01-04,FICELLE,1,0.6
2021-01-04,FORMULE SANDWICH,4,26.0
2021-01-04,GAL FRANGIPANE 4P,2,16.0
2021-01-04,GAL POMME 4P,3,24.0
2021-01-04,GD KOUIGN AMANN,2,15.0
2021-01-04,GRAND FAR BRETON,1,7.0
2021-01-04,KOUIGN AMANN,2,4.2
2021-01-04,MOISSON,1,2.0
2021-01-04,PAIN,3,3.4499999999999997
2021-01-04,PAIN AU CHOCOLAT,17,20.4
2021-01-04,PAIN AUX RAISINS,2,2.8
2021-01-04,PATES,1,4.5
2021-01-04,SAND JB EMMENTAL,1,3.5
2021-01-04,SANDWICH COMPLET,4,18.0
2021-01-04,SEIGLE,2,3.6
2021-01-04,SPECIAL BREAD,7,16.8
2021-01-04,TRADITIONAL BAGUETTE,128,153.6
2021-01-05,BAGUETTE,29,26.1
2021-01-05,BANETTE,26,27.3
2021-01-05,BANETTINE,2,1.2
2021-01-05,BOISSON 33CL,3,4.5
2021-01-05,BOULE 200G,2,2.2
2021-01-05,BOULE 400G,6,9.0
2021-01-05,BRIOCHE,2,10.0
2021-01-05,CAFE OU EAU,2,2.0
2021-01-05,CAMPAGNE,3,5.4
2021-01-05,CEREAL BAGUETTE,7,8.75
2021-01-05,COMPLET,2,3.0
2021-01-05,COOKIE,6,6.0
2021-01-05,COUPE,19,2.8499999999999996
2021-01-05,CROISSANT,12,13.200000000000001
2021-01-05,CROISSANT AMANDES,2,2.8
2021-01-05,DEMI BAGUETTE,3,1.35
2021-01-05,DIVERS BOULANGERIE,1,2.0
2021-01-05,DIVERS PATISSERIE,7,35.5
2021-01-05,DIVERS SANDWICHS,2,7.5
2021-01-05,DIVERS VIENNOISERIE,3,8.5
2021-01-05,FICELLE,4,2.4
2021-01-05,FORMULE SANDWICH,12,78.0
2021-01-05,GAL FRANGIPANE 4P,1,8.0
2021-01-05,GAL FRANGIPANE 6P,2,24.0
2021-01-05,KOUIGN AMANN,5,10.5
2021-01-05,MOISSON,6,12.0
2021-01-05,NANTAIS,1,2.5
2021-01-05,PAIN,3,3.4499999999999997
2021-01-05,PAIN AU CHOCOLAT,6,7.199999999999999
2021-01-05,PAIN AUX RAISINS,4,5.6
2021-01-05,PAIN BANETTE,5,7.0
2021-01-05,PAIN CHOCO AMANDES,3,4.5
2021-01-05,QUIM BREAD,4,4.0
2021-01-05,SACHET VIENNOISERIE,3,12.0
2021-01-05,SAND JB EMMENTAL,1,3.5
2021-01-05,SANDWICH COMPLET,5,22.5
2021-01-05,SEIGLE,1,1.8
2021-01-05,SPECIAL BREAD,8,19.2
2021-01-05,TRADITIONAL BAGUETTE,99,118.8
2021-01-07,BAGUETTE,28,25.2
2021-01-07,BANETTE,21,22.05
2021-01-07,BANETTINE,3,1.7999999999999998
2021-01-07,BOISSON 33CL,1,1.5
2021-01-07,BOULE 200G,5,5.5
2021-01-07,BOULE 400G,3,4.5
2021-01-07,BRIOCHE,1,5.0
2021-01-07,CAFE OU EAU,3,3.0
2021-01-07,CAMPAGNE,3,5.4
2021-01-07,CEREAL BAGUETTE,7,8.75
2021-01-07,CHAUSSON AUX POMMES,1,1.4
2021-01-07,CHOCOLAT,1,1.5
2021-01-07,COMPLET,4,6.0
2021-01-07,COOKIE,3,3.0
2021-01-07,COUPE,23,3.4499999999999997
2021-01-07,CROISSANT,15,16.5
2021-01-07,CROISSANT AMANDES,3,4.199999999999999
2021-01-07,DEMI BAGUETTE,1,0.45
2021-01-07,DIVERS BOULANGERIE,1,12.0
2021-01-07,DIVERS CONFISERIE,1,3.0
2021-01-07,DIVERS SANDWICHS,4,15.0
2021-01-07,DIVERS VIENNOISERIE,2,12.0
2021-01-07,FICELLE,1,0.6
2021-01-07,FONDANT CHOCOLAT,2,5.0
2021-01-07,FORMULE SANDWICH,8,52.0
2021-01-07,GAL FRANGIPANE 4P,5,40.0
2021-01-07,GAL FRANGIPANE 6P,4,48.0
2021-01-07,GAL POMME 4P,2,16.0
2021-01-07,GAL POMME 6P,1,12.0
2021-01-07,MOISSON,7,14.0
2021-01-07,PAIN,4,4.6
2021-01-07,PAIN AU CHOCOLAT,15,18.0
2021-01-07,PAIN AUX RAISINS,3,4.199999999999999
2021-01-07,PAIN BANETTE,2,2.8
2021-01-07,PAIN CHOCO AMANDES,1,1.5
2021-01-07,PAIN S/SEL,1,1.5
2021-01-07,SANDWICH COMPLET,2,9.0
2021-01-07,SEIGLE,2,3.6
2021-01-07,SPECIAL BREAD,6,14.399999999999999
2021-01-07,SPECIAL BREAD KG,1,4.8
2021-01-07,TRADITIONAL BAGUETTE,109,130.79999999999998
2021-01-08,BAGUETTE,17,15.3
2021-01-08,BANETTE,20,21.0
2021-01-08,BANETTINE,7,4.2
2021-01-08,BOISSON 33CL,2,3.0
2021-01-08,BOULE 200G,3,3.3000000000000003
2021-01-08,BOULE 400G,6,9.0
2021-01-08,BOULE POLKA,2,3.2
2021-01-08,BRIOCHE,1,5.0
2021-01-08,CAFE OU EAU,1,1.0
2021-01-08,CAMPAGNE,3,5.4
2021-01-08,CEREAL BAGUETTE,7,8.75
2021-01-08,CHAUSSON AUX POMMES,1,1.4
2021-01-08,COMPLET,5,7.5
2021-01-08,COOKIE,5,5.0
2021-01-08,COUPE,26,3.9
2021-01-08,CROISSANT,40,44.0
2021-01-08,DEMI BAGUETTE,3,1.35
2021-01-08,DIVERS SANDWICHS,3,12.5
2021-01-08,DIVERS VIENNOISERIE,3,14.0
2021-01-08,FICELLE,1,0.6
